시군구,전용면적(㎡),계약년월,거래금액(만원),층,건축년도
강원도 강릉시 견소동,84.99,202210,"35,000",10,2005
강원도 강릉시 교동,84.9855,202210,"49,900",11,2009
강원도 강릉시 교동,84.84,202210,"37,400",9,1999
강원도 강릉시 교동,54.81,202210,"12,000",4,1985
강원도 강릉시 교동,49.92,202210,"18,000",11,1999
강원도 강릉시 교동,84.93,202210,"28,500",7,2001
강원도 강릉시 교동,84.93,202210,"39,000",14,2001
강원도 강릉시 교동,33.9,202210,"9,000",4,1995
강원도 강릉시 교동,65.495,202210,"7,400",2,1981
강원도 강릉시 교동,99.96,202210,"42,500",7,1999
강원도 강릉시 내곡동,59.84,202210,"19,300",15,1998
강원도 강릉시 내곡동,84.95,202210,"29,200",13,1997
강원도 강릉시 내곡동,59.97,202210,"18,600",7,1997
강원도 강릉시 노암동,39.762,202210,"12,200",13,2000
강원도 강릉시 노암동,105.858,202210,"25,500",1,1994
강원도 강릉시 노암동,105.858,202210,"26,500",1,1994
강원도 강릉시 노암동,59.976,202210,"14,200",11,1994
강원도 강릉시 노암동,44.64,202210,"14,900",8,1998
강원도 강릉시 노암동,44.64,202210,"12,000",7,1998
강원도 강릉시 사천면 사천진리,31.3167,202210,"15,976",10,2021
강원도 강릉시 송정동,72.86,202210,"18,800",2,1992
강원도 강릉시 송정동,84.93,202210,"45,000",16,2019
강원도 강릉시 연곡면 영진리,30.24,202210,"7,000",9,1999
강원도 강릉시 연곡면 영진리,30.24,202210,"6,900",8,1999
강원도 강릉시 연곡면 영진리,59.987,202210,"15,000",11,2005
강원도 강릉시 연곡면 영진리,59.987,202210,"19,500",1,2005
강원도 강릉시 연곡면 영진리,29.9674,202210,"13,600",7,2019
강원도 강릉시 연곡면 영진리,29.9674,202210,"12,900",5,2019
강원도 강릉시 연곡면 영진리,29.9674,202210,"14,700",13,2019
강원도 강릉시 연곡면 영진리,29.9674,202210,"14,700",13,2019
강원도 강릉시 옥천동,54.09,202210,"4,900",3,1980
강원도 강릉시 유천동,74.88,202210,"49,000",20,2018
강원도 강릉시 유천동,74.88,202210,"47,000",14,2018
강원도 강릉시 입암동,74.71,202210,"25,750",4,2014
강원도 강릉시 입암동,157.22,202210,"50,000",7,2007
강원도 강릉시 입암동,84.96,202210,"41,000",13,2007
강원도 강릉시 입암동,54.93,202210,"10,000",4,1984
강원도 강릉시 입암동,59.94,202210,"13,000",5,1992
강원도 강릉시 입암동,49.86,202210,"6,750",5,1987
강원도 강릉시 입암동,84.7,202210,"35,000",9,2006
강원도 강릉시 입암동,59.8,202210,"15,500",8,1996
강원도 강릉시 입암동,49.97,202210,"13,500",11,1996
강원도 강릉시 입암동,49.62,202210,"14,500",13,1998
강원도 강릉시 입암동,59.956,202210,"19,500",13,1998
강원도 강릉시 입암동,39.348,202210,"7,700",2,1998
강원도 강릉시 입암동,34.722,202210,"6,500",11,1998
강원도 강릉시 입암동,34.722,202210,"6,500",2,1998
강원도 강릉시 입암동,34.722,202210,"7,000",8,1998
강원도 강릉시 주문진읍 교항리,49.85,202210,"11,900",4,2000
강원도 강릉시 주문진읍 교항리,49.85,202210,"13,000",15,2000
강원도 강릉시 주문진읍 교항리,63.18,202210,"15,500",10,1991
강원도 강릉시 주문진읍 교항리,36.4,202210,"4,200",2,1995
강원도 강릉시 주문진읍 교항리,84.8819,202210,"20,000",1,2015
강원도 강릉시 주문진읍 교항리,59.98,202210,"7,900",1,1999
강원도 강릉시 주문진읍 교항리,59.98,202210,"7,900",1,1999
강원도 강릉시 주문진읍 교항리,59.98,202210,"9,500",7,1999
강원도 강릉시 주문진읍 교항리,59.98,202210,"10,100",5,1999
강원도 강릉시 주문진읍 교항리,49.86,202210,"8,000",8,1999
강원도 강릉시 주문진읍 교항리,84.8788,202210,"22,000",4,2021
강원도 강릉시 주문진읍 주문리,81.6525,202210,"17,800",8,1991
강원도 강릉시 주문진읍 주문리,23.662,202210,"9,400",7,2017
강원도 강릉시 주문진읍 주문리,23.662,202210,"10,500",6,2017
강원도 강릉시 주문진읍 주문리,23.662,202210,"8,600",3,2017
강원도 강릉시 지변동,59.961,202210,"11,100",4,1998
강원도 강릉시 초당동,35.7,202210,"7,500",2,1988
강원도 강릉시 포남동,55.857,202210,"10,300",3,1987
강원도 강릉시 포남동,59.8,202210,"10,400",1,1988
강원도 강릉시 포남동,59.677,202210,"9,000",5,1989
강원도 강릉시 포남동,120.08,202210,"25,000",3,1991
강원도 강릉시 포남동,19.99,202210,"5,600",5,1995
강원도 강릉시 포남동,71.98,202210,"10,000",5,1991
강원도 강릉시 포남동,54.81,202210,"11,700",3,1986
강원도 강릉시 포남동,49.95,202210,"9,500",5,1988
강원도 강릉시 포남동,59.135,202210,"21,100",2,1995
강원도 강릉시 포남동,84.96,202210,"17,000",1,1991
강원도 강릉시 포남동,84.96,202210,"17,000",1,1991
강원도 강릉시 포남동,73.47,202210,"11,800",4,1986
강원도 강릉시 포남동,82.71,202210,"8,000",5,1986
강원도 강릉시 포남동,84.42,202210,"32,000",14,1994
강원도 강릉시 포남동,84.42,202210,"32,000",14,1994
강원도 강릉시 포남동,41.99,202210,"14,000",2,1981
강원도 강릉시 포남동,39.69,202210,"13,000",2,1989
강원도 강릉시 포남동,39.3,202210,"10,400",4,1989
강원도 강릉시 포남동,39.3,202210,"10,400",4,1989
강원도 강릉시 홍제동,129.689,202210,"46,000",4,2007
강원도 강릉시 홍제동,50.445,202210,"13,700",8,1997
강원도 강릉시 홍제동,105.715,202210,"43,000",5,2005
강원도 강릉시 회산동,84.9925,202210,"40,000",17,2018
강원도 고성군 간성읍 상리,39.6,202210,"6,500",5,1998
강원도 고성군 간성읍 신안리,84.92,202210,"15,900",14,1998
강원도 고성군 간성읍 신안리,59.68,202210,"12,000",10,1998
강원도 고성군 간성읍 신안리,59.68,202210,"13,000",7,1998
강원도 고성군 간성읍 신안리,59.29,202210,"7,850",5,1989
강원도 고성군 거진읍 송포리,84.73,202210,"33,000",10,2006
강원도 고성군 토성면 봉포리,80.3048,202210,"27,000",3,2020
강원도 동해시 구미동,52.06,202210,"5,000",15,1995
강원도 동해시 구미동,50.86,202210,"6,700",12,1995
강원도 동해시 동회동,84.5525,202210,"13,000",10,1995
강원도 동해시 동회동,45,202210,"6,400",14,1995
강원도 동해시 동회동,59.97,202210,"8,800",20,1995
강원도 동해시 동회동,84.5525,202210,"12,100",2,1995
강원도 동해시 동회동,59.3575,202210,"8,200",10,1995
강원도 동해시 동회동,59.3575,202210,"8,700",4,1996
강원도 동해시 동회동,84.5525,202210,"14,500",7,1996
강원도 동해시 동회동,59.911,202210,"19,900",13,2018
강원도 동해시 동회동,134.783,202210,"19,800",1,1999
강원도 동해시 묵호진동,40.965,202210,"8,050",6,1996
강원도 동해시 발한동,46.54,202210,"3,000",5,1991
강원도 동해시 발한동,64.3,202210,"5,000",3,1991
강원도 동해시 발한동,70.8766,202210,"26,700",14,2019
강원도 동해시 발한동,64.2,202210,"8,300",15,1988
강원도 동해시 발한동,50.85,202210,"5,550",2,1991
강원도 동해시 발한동,51.75,202210,"3,500",2,1986
강원도 동해시 발한동,32.28,202210,"3,400",1,1985
강원도 동해시 발한동,24.84,202210,"1,650",2,1989
강원도 동해시 발한동,59.8993,202210,"25,000",14,2018
강원도 동해시 부곡동,58.66,202210,"2,500",3,1987
강원도 동해시 부곡동,53.1,202210,"3,900",5,1986
강원도 동해시 부곡동,32.1,202210,"2,200",4,1986
강원도 동해시 부곡동,58.83,202210,"5,400",5,1991
강원도 동해시 부곡동,58.83,202210,"5,800",5,1991
강원도 동해시 부곡동,35.045,202210,"3,700",9,1995
강원도 동해시 북평동,76.0975,202210,"6,900",5,1990
강원도 동해시 쇄운동,59.79,202210,"4,900",12,1997
강원도 동해시 쇄운동,54.21,202210,"4,600",14,1997
강원도 동해시 쇄운동,60,202210,"9,600",7,2012
강원도 동해시 쇄운동,39.08,202210,"5,700",4,2012
강원도 동해시 쇄운동,39.08,202210,"6,300",8,2012
강원도 동해시 쇄운동,39.08,202210,"5,500",3,2012
강원도 동해시 쇄운동,39.08,202210,"6,350",4,2012
강원도 동해시 쇄운동,39.08,202210,"5,700",4,2012
강원도 동해시 이도동,49.275,202210,"4,550",1,1996
강원도 동해시 이도동,84.98,202210,"31,800",13,2018
강원도 동해시 이도동,59.95,202210,"22,400",17,2018
강원도 동해시 이도동,49.62,202210,"6,000",7,1999
강원도 동해시 이도동,49.62,202210,"5,700",2,1999
강원도 동해시 이도동,49.62,202210,"6,500",7,1999
